,gammaE,gammaN,gammaBW,repRate,laserWavelength,laserN,laserPulseEnergy,laserAvgPower,laserHarmonicEff,accElectronE,accAvgCurrent,accLength,accAvgPower,accPeakPower,accElectronN,accGrad,accShuntZ
0,5.0,1000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,2.604034657414008,3.0039162852816026,127.11264937362147,216.3490623427073,16254897986354.607,100.0,160.0
1,5.0,1000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,2.604034657414008,2.002610856854402,187.7812930117165,319.6086846492624,16254897986354.607,150.0,160.0
2,5.0,1000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,2.604034657414008,3.0039162852816026,60.928674495699575,103.70220164464719,16254897986354.607,100.0,352.0
3,5.0,1000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,2.604034657414008,2.002610856854402,88.5053306948337,150.63839360217224,16254897986354.607,150.0,352.0
4,5.0,1000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,1.302017328707004,3.0039162852816026,124.22496832490577,211.43415347790875,8127448993177.304,100.0,160.0
5,5.0,1000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,1.302017328707004,2.002610856854402,184.89361196300084,314.69377578446387,8127448993177.304,150.0,160.0
6,5.0,1000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,1.302017328707004,3.0039162852816026,58.0409934469839,98.78729277984864,8127448993177.304,100.0,352.0
7,5.0,1000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,1.302017328707004,2.002610856854402,85.61764964611802,145.7234847373737,8127448993177.304,150.0,352.0
8,5.0,1000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,0.8671688228087424,3.6808183033911543,151.03604916957818,257.06731610745845,5413038843999.641,100.0,160.0
9,5.0,1000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,0.8671688228087424,2.4538788689274362,225.37575531890627,383.59544528652935,5413038843999.641,150.0,160.0
10,5.0,1000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,0.8671688228087424,3.6808183033911543,69.9381879157657,119.03662973029012,5413038843999.641,100.0,352.0
11,5.0,1000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,0.8671688228087424,2.4538788689274362,103.72896343818756,176.54941572077692,5413038843999.641,150.0,352.0
12,5.0,1000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,0.4335844114043712,3.6808183033911543,149.85773073411718,255.06178723280013,2706519421999.8203,100.0,160.0
13,5.0,1000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,0.4335844114043712,2.4538788689274362,224.19743688344528,381.5899164118711,2706519421999.8203,150.0,160.0
14,5.0,1000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,0.4335844114043712,3.6808183033911543,68.75986948030472,117.03110085563185,2706519421999.8203,100.0,352.0
15,5.0,1000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,0.4335844114043712,2.4538788689274362,102.55064500272657,174.54388684611862,2706519421999.8203,150.0,352.0
16,5.0,10000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,26.040346574140084,3.0039162852816026,179.09090825050365,304.81742190908125,162548979863546.1,100.0,160.0
17,5.0,10000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,26.040346574140084,2.002610856854402,239.75955188859868,408.07704421563636,162548979863546.1,150.0,160.0
18,5.0,10000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,26.040346574140084,3.0039162852816026,112.90693337258178,192.17056121102118,162548979863546.1,100.0,352.0
19,5.0,10000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,26.040346574140084,2.002610856854402,140.4835895717159,239.10675316854622,162548979863546.1,150.0,352.0
20,5.0,10000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,13.020173287070042,3.0039162852816026,150.21409776334687,255.66833326109574,81274489931773.05,100.0,160.0
21,5.0,10000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,13.020173287070042,2.002610856854402,210.88274140144193,358.9279555676508,81274489931773.05,150.0,160.0
